@RELATION fullstop

             @ATTRIBUTE three_before_numeric {TRUE, FALSE}

             @ATTRIBUTE two_before_type {fullstop, numeric, other}

             @ATTRIBUTE two_after_fullstop {TRUE, FALSE}

             @ATTRIBUTE one_after_type {lower, capital_common, np, comma, fullstop, numeric, quotes, other}

             @ATTRIBUTE one_before_type {title, abbrev, internal, quotes, time, other}

             @ATTRIBUTE one_before_contains_fullstop {TRUE, FALSE}

             @ATTRIBUTE one_before_capitals integer

             @ATTRIBUTE one_after_length integer

             @ATTRIBUTE one_before_length integer

             @ATTRIBUTE words_since_EOS integer

             @ATTRIBUTE words_until_EOS integer

             @ATTRIBUTE spaces_following integer

             @ATTRIBUTE class {EOS, NEOS}

             @DATA
FALSE,other,FALSE,capital_common,other,FALSE,0,2,9,117,65,1,EOS
FALSE,other,FALSE,other,other,FALSE,0,5,11,92,108,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,13,117,0,0,EOS
FALSE,other,FALSE,other,other,FALSE,0,2,8,18,6,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,4,86,205,2,EOS
FALSE,other,FALSE,other,other,FALSE,1,5,4,32,122,3,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,6,55,24,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,3,19,101,2,EOS
FALSE,other,FALSE,other,other,FALSE,0,6,8,179,71,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,8,343,0,0,EOS
FALSE,other,FALSE,other,time,FALSE,1,8,8,147,19,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,9,3,14,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,10,41,0,0,EOS
FALSE,other,FALSE,np,other,FALSE,1,3,7,127,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,8,46,159,1,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,7,68,0,0,EOS
FALSE,other,FALSE,other,other,FALSE,1,13,8,12,67,1,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,6,37,0,0,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,9,205,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,5,46,115,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,4,38,72,1,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,14,53,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,7,66,53,2,EOS
FALSE,other,FALSE,other,abbrev,FALSE,1,1,3,458,183,0,NEOS
FALSE,other,FALSE,capital_common,other,FALSE,1,3,1,4,7,2,EOS
FALSE,fullstop,FALSE,capital_common,other,FALSE,1,2,6,23,38,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,7,149,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,8,7,27,1,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,5,36,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,6,20,18,2,EOS
FALSE,other,FALSE,other,title,FALSE,1,5,2,1,45,1,NEOS
FALSE,other,FALSE,capital_common,other,FALSE,0,5,5,19,118,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,5,40,8,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,5,71,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,11,59,36,1,EOS
FALSE,other,FALSE,other,other,FALSE,0,7,4,13,9,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,7,8,28,25,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,7,29,119,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,9,42,7,1,EOS
FALSE,other,FALSE,other,other,FALSE,0,1,6,90,29,2,EOS
FALSE,other,FALSE,other,other,FALSE,0,2,3,9,17,2,EOS
FALSE,other,FALSE,other,other,FALSE,0,8,4,26,111,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,9,56,11,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,6,3,39,2,EOS
FALSE,other,TRUE,other,other,FALSE,0,4,6,5,9,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,7,29,119,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,3,30,0,0,EOS
FALSE,other,TRUE,other,title,FALSE,1,3,4,27,28,1,NEOS
FALSE,other,FALSE,other,title,FALSE,1,4,2,16,15,1,NEOS
FALSE,fullstop,FALSE,np,other,FALSE,1,3,7,68,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,8,64,19,1,EOS
FALSE,other,FALSE,other,other,FALSE,0,2,8,10,5,1,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,6,26,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,3,39,4,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,8,2,38,62,3,EOS
FALSE,other,FALSE,capital_common,other,FALSE,1,4,7,64,17,1,EOS
FALSE,other,FALSE,other,title,FALSE,1,8,2,18,96,1,NEOS
FALSE,other,FALSE,np,other,FALSE,0,3,4,36,0,0,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,14,50,0,0,EOS
FALSE,other,FALSE,np,quotes,FALSE,0,3,2,92,0,0,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,3,93,0,0,EOS
