@RELATION fullstop

             @ATTRIBUTE length integer 

             @ATTRIBUTE dist_BOS integer 

             @ATTRIBUTE init_spaces integer 

             @ATTRIBUTE init_tabs integer 

             @ATTRIBUTE class {NNHEAD, QUOTED, SIG, TABLE, GRAPHIC, HEADL, ADDRESS, ITEM, PTEXT}

             @DATA
47,3,25,0,HEADL
44,3,27,0,HEADL
79,7,0,0,PTEXT
76,7,0,0,PTEXT
70,7,0,0,PTEXT
37,7,0,0,PTEXT
79,9,0,0,PTEXT
59,9,0,0,PTEXT
34,10,0,0,PTEXT
68,11,0,0,PTEXT
75,13,0,0,PTEXT
28,13,0,0,PTEXT
76,15,0,0,PTEXT
58,15,0,0,PTEXT
78,27,0,0,PTEXT
68,27,0,0,PTEXT
77,27,0,0,PTEXT
75,27,0,0,PTEXT
76,27,0,0,PTEXT
78,27,0,0,PTEXT
72,27,0,0,PTEXT
73,27,0,0,PTEXT
74,27,0,0,PTEXT
75,27,0,0,PTEXT
79,27,0,0,PTEXT
58,27,0,0,PTEXT
73,31,0,0,PTEXT
79,31,0,0,PTEXT
79,31,0,0,PTEXT
72,31,0,0,PTEXT
7,33,0,0,PTEXT
3,33,0,0,PTEXT
73,13,0,0,NNHEAD
31,13,0,0,NNHEAD
45,13,0,0,NNHEAD
43,13,0,0,NNHEAD
26,13,0,0,NNHEAD
63,13,0,0,NNHEAD
37,13,0,0,NNHEAD
28,13,0,0,NNHEAD
30,13,0,0,NNHEAD
19,13,0,0,NNHEAD
40,13,0,0,NNHEAD
9,13,0,0,NNHEAD
40,13,0,0,NNHEAD
52,1,27,0,HEADL
51,2,29,0,HEADL
55,3,23,0,HEADL
76,5,0,0,PTEXT
78,5,0,0,PTEXT
72,5,0,0,PTEXT
76,5,0,0,PTEXT
10,5,0,0,PTEXT
77,11,0,0,PTEXT
73,11,0,0,PTEXT
72,11,0,0,PTEXT
74,11,0,0,PTEXT
78,11,0,0,PTEXT
13,11,0,0,PTEXT
74,18,0,0,PTEXT
77,18,0,0,PTEXT
70,18,0,0,PTEXT
70,18,0,0,PTEXT
78,18,0,0,PTEXT
73,18,0,0,PTEXT
51,18,0,0,PTEXT
73,22,0,0,PTEXT
79,22,0,0,PTEXT
77,22,0,0,PTEXT
19,22,0,0,PTEXT
75,24,0,0,PTEXT
28,24,0,0,PTEXT
31,30,0,1,ADDRESS
20,30,0,1,ADDRESS
22,30,0,1,ADDRESS
16,30,0,1,ADDRESS
16,30,0,1,ADDRESS
22,30,0,1,ADDRESS
60,7,0,0,PTEXT
78,7,0,0,PTEXT
75,7,0,0,PTEXT
69,7,0,0,PTEXT
74,7,0,0,PTEXT
79,7,0,0,PTEXT
21,7,0,0,PTEXT
73,15,0,0,NNHEAD
31,15,0,0,NNHEAD
45,15,0,0,NNHEAD
53,15,0,0,NNHEAD
45,15,0,0,NNHEAD
61,15,0,0,NNHEAD
37,15,0,0,NNHEAD
28,15,0,0,NNHEAD
30,15,0,0,NNHEAD
31,15,0,0,NNHEAD
19,15,0,0,NNHEAD
40,15,0,0,NNHEAD
9,15,0,0,NNHEAD
66,15,0,0,NNHEAD
40,15,0,0,NNHEAD
49,2,29,0,HEADL
55,2,25,0,HEADL
77,9,0,0,PTEXT
77,9,0,0,PTEXT
76,9,0,0,PTEXT
79,9,0,0,PTEXT
79,9,0,0,PTEXT
76,9,0,0,PTEXT
78,9,0,0,PTEXT
76,9,0,0,PTEXT
60,9,0,0,PTEXT
76,13,0,0,PTEXT
78,13,0,0,PTEXT
75,13,0,0,PTEXT
78,13,0,0,PTEXT
30,21,0,1,ADDRESS
55,21,0,1,ADDRESS
45,21,0,1,ADDRESS
49,21,0,1,ADDRESS
49,21,0,1,ADDRESS
31,21,0,1,ADDRESS
44,21,0,1,ADDRESS
54,21,0,1,ADDRESS
79,23,0,0,PTEXT
41,23,0,0,PTEXT
73,15,0,0,NNHEAD
31,15,0,0,NNHEAD
